CreditCardID,PaymentID,CreditCardNum,CardExpM,CardExpY,CardSecurityNumber,CardAddress,CardCity,CardPostalCode
CC4878,P7855,5590 6492 7696 2332,12,2020,123,5206 ARCHER BLVD,MEMPHIS,D8V 0D89
CC4879,P7856,8930 3840 3945 9342,12,2018,582,5207 ARCHER BLVD,MEMPHIS,D8V 0D90
CC4880,P7857,4551 9394 3840 3434,12,2019,773,5208 ARCHER BLVD,MEMPHIS,D8V 0D91
CC4881,P7858,4510 9348 3284 8328,12,2018,112,5209 ARCHER BLVD,MEMPHIS,D8V 0D92
CC4882,P7859,4510 6558 8583 8439,12,2019,232,5210 ARCHER BLVD,MEMPHIS,D8V 0D93
CC4883,P7860,5590 7788 4492 7402,12,2022,835,5211 ARCHER BLVD,MEMPHIS,D8V 0D94
CC4884,P7861,5590 6492 7696 2332,12,2020,123,5212 ARCHER BLVD,MEMPHIS,D8V 0D95
CC4885,P7862,8930 3840 3945 9342,12,2018,582,5213 ARCHER BLVD,MEMPHIS,D8V 0D96
CC4886,P7863,4551 9394 3840 3434,12,2019,773,5214 ARCHER BLVD,MEMPHIS,D8V 0D97
CC4887,P7864,4510 9348 3284 8328,12,2018,112,5215 ARCHER BLVD,MEMPHIS,D8V 0D98
CC4888,P7865,4510 6558 8583 8439,12,2019,232,5216 ARCHER BLVD,MEMPHIS,D8V 0D99
CC4889,P7866,5590 7788 4492 7402,12,2022,835,5217 ARCHER BLVD,MEMPHIS,D8V 0D100
