SellerID,UserID,USER_TYPE,CompanyName,ContactFName,ContactLName,ContactPosition,Phone,Email,Logo
S6365,U2919,S,ABC Information Systm,Pandey,hegde,First,8827900000,abc@gmail.com',NA
S6366,U2920,S,ABC Information Systm,Shindey,gauri,First,8827900000,abc@gmail.com',NA
S6367,U2921,S,ABC Information Systm,Bose,vipin,First,8827900000,abc@gmail.com',NA
S6368,U2922,S,ABC Information Systm,Sharma,vipul,First,8827900000,abc@gmail.com',NA
S6369,U2923,S,ABC Information Systm,Verma,denial,First,8827900000,abc@gmail.com',NA
S6370,U2924,S,ABC Information Systm,Pandey,hegde,First,8827900000,abc@gmail.com',NA
S6371,U2925,S,ABC Information Systm,Shindey,gauri,First,8827900000,abc@gmail.com',NA
S6372,U2926,S,ABC Information Systm,Bose,vipin,First,8827900000,abc@gmail.com',NA
S6373,U2927,S,ABC Information Systm,Sharma,vipul,First,8827900000,abc@gmail.com',NA
S6374,U2928,S,ABC Information Systm,Verma,denial,First,8827900000,abc@gmail.com',NA
S6375,U2929,S,ABC Information Systm,Pandey,hegde,First,8827900000,abc@gmail.com',NA
S6376,U2930,S,ABC Information Systm,Shindey,gauri,First,8827900000,abc@gmail.com',NA
S6377,U2931,S,ABC Information Systm,Bose,vipin,First,8827900000,abc@gmail.com',NA
S6378,U2932,S,ABC Information Systm,Sharma,vipul,First,8827900000,abc@gmail.com',NA
S6379,U2933,S,ABC Information Systm,Verma,denial,First,8827900000,abc@gmail.com',NA
S6380,U2934,S,ABC Information Systm,Pandey,hegde,First,8827900000,abc@gmail.com',NA
S6381,U2935,S,ABC Information Systm,Shindey,gauri,First,8827900000,abc@gmail.com',NA
